source,record_id,question_id,provider_id,title,classification,reason,known_query_risk,source_limitation,source_url,decision_authority,human_screening_claim,systematic_review_inclusion_claim,status
clinicaltrials,REC-CTGOV-NCT01130025,A1,NCT01130025,Long-Term Innohep® Treatment Versus a Vitamin K Antagonist (Warfarin) for the Treatment of Venous Thromboembolism (VTE) in Cancer,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01130025,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01250535,A1,NCT01250535,Human Cytochrome P450 4F Enzymes and Drug Interactions,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01250535,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01285661,A1,NCT01285661,Optimal Duration of Anticoagulation in Deep Venous Thrombosis,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01285661,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01348074,A1,NCT01348074,Reinitiation of Anticoagulation After Temporary Withdrawal of Vitamin K Antagonist,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01348074,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01400646,A1,NCT01400646,A Study to Explore the Pharmacodynamic Changes When Transitioning From Rivaroxaban to Warfarin in Healthy Volunteers,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01400646,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01474460,A1,NCT01474460,Use of Phytonadione to Reduce International Normalized Ratio (INR) Variability in Patients on Long-term Warfarin Therapy,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01474460,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01507051,A1,NCT01507051,Switching Study From Warfarin to Rivaroxaban,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01507051,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01517399,A1,NCT01517399,"Drug-drug Interaction Study of Tivantinib (ARQ 197) With Omeprazole, S-warfarin, Caffeine, Midazolam, and Digoxin in Cancer Subjects",ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01517399,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01520402,A1,NCT01520402,Genetic Response to Warfarin in Healthy Subjects,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01520402,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01556659,A1,NCT01556659,LV Thrombus After Acute AMI: A Randomized Controlled Trial,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01556659,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01619007,A1,NCT01619007,Treatment of an Acute Deep Vein Thrombosis (DVT) With Either Rivaroxaban or Current Standard of Care Therapy,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01619007,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
