retrieval_id,record_id,question_id,nct_id,brief_title,official_title,overall_status,study_type,phases,enrollment,conditions,interventions,lead_sponsor,start_date,completion_date,has_results,registry_url,known_query_risk,decision_authority,status
RET-A1-CTGOV-NCT02161965,REC-CTGOV-NCT02161965,A1,NCT02161965,Vascular CalcIfiCation and sTiffness Induced by ORal antIcoAgulation,The VICTORIA Study (Vascular CalcIfiCation and sTiffness Induced by ORal antIcoAgulation) Comparison Anti-vitamin K Versus Anti-Xa.,COMPLETED,INTERVENTIONAL,PHASE4,51,Permanent Atrial Fibrillation|Venous Thrombosis|Pulmonary Embolism|Anticoagulation Treatment at Least > or = to 12-month,DRUG:Rivaroxaban|DRUG:Fluindione|DRUG:Warfarin,"University Hospital, Angers",2013-05-21,2018-02-16,false,https://clinicaltrials.gov/study/NCT02161965,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00954395,REC-CTGOV-NCT00954395,A1,NCT00954395,DULCIS (D-dimer and ULtrasonography in Combination Italian Study),Optimizing the Duration of Anticoagulation in Venous Thromboembolism: the DULCIS Study,COMPLETED,OBSERVATIONAL,,1100,Venous Thromboembolism,OTHER:D-dimer,IRCCS Azienda Ospedaliero-Universitaria di Bologna,2008-09,2012-06,false,https://clinicaltrials.gov/study/NCT00954395,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03673605,REC-CTGOV-NCT03673605,A1,NCT03673605,Efficacy and Safety of Rivaroxiban Compare With Vitamin K Antagonist Warfarin,Efficacy and Safety of Rivaroxiban Compare With Vitamin K Antagonist Warfarin in Patients With Atrial Fibrillation and Mitral Stenosis Among Pakistani Population,WITHDRAWN,INTERVENTIONAL,PHASE4,0,Mitral Valve Stenosis|Atrial Fibrillation,DRUG:Rivaroxaban 15 mg|DRUG:Warfarin,PharmEvo Pvt Ltd,2016-12-30,2017-12-30,false,https://clinicaltrials.gov/study/NCT03673605,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07431762,REC-CTGOV-NCT07431762,A1,NCT07431762,Comparison of Anti-Thrombotic Treatments Between Aspirin and Warfarin During Initial Six Months After Bioprosthetic Heart Valve Replacement,Comparison of Anti-Thrombotic Treatments Between Aspirin and Warfarin During Initial Six Months After Bioprosthetic Heart Valve Replacement,RECRUITING,INTERVENTIONAL,PHASE4,1058,Valve Replacement Surgery,DRUG:Aspirin|DRUG:Vitamin K antagonist(warfarin),Asan Medical Center,2026-06-05,2031-03-31,false,https://clinicaltrials.gov/study/NCT07431762,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03702582,REC-CTGOV-NCT03702582,A1,NCT03702582,Rivaroxaban vs. Warfarin for Post Cardiac Surgery Atrial Fibrillation,Trial of New Oral Anticoagulants vs. Warfarin for Post Cardiac Surgery Atrial Fibrillation,COMPLETED,INTERVENTIONAL,PHASE3,100,Atrial Fibrillation|Stroke|Bleeding,DRUG:Rivaroxaban|DRUG:Warfarin,Massachusetts General Hospital,2019-04-30,2023-10-01,true,https://clinicaltrials.gov/study/NCT03702582,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05646394,REC-CTGOV-NCT05646394,A1,NCT05646394,Registry on Augmented Antithrombotic Treatment Regimens for Patients With Arterial Thrombotic APS,Registry on Augmented Antithrombotic Treatment Regimens for Patients With Arterial Thrombotic APS,RECRUITING,OBSERVATIONAL,,150,Antiphospholipid Syndrome|Arterial Thrombosis,DRUG:Dual antiplatelet therapy|DRUG:Combined antithrombotic therapy|DRUG:Vitamin K antagonist standard intensity|DRUG:Vitamin K antagonist high intensity,McMaster University,2022-07-01,2029-12-31,false,https://clinicaltrials.gov/study/NCT05646394,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05825573,REC-CTGOV-NCT05825573,A1,NCT05825573,Anticoagulation Therapy in Non-device-related Intra-cardiac Thrombus,Anticoagulant Regimens Given to Achieve Thrombus Regression and Reduce Clinical Outcomes Among Patients With Non Device-related Intra-cardiac Thrombus: a Randomized Assessment Under Direct Oral Anticoagulant and Vitamin-k Antagonist Therapy,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,340,Intracardiac Thrombus|STEMI|Heart Failure,DRUG:Vitamin K antagonist|DRUG:Direct oral anticoagulant,Centre Hospitalier Universitaire de Nīmes,2023-05-15,2026-02,false,https://clinicaltrials.gov/study/NCT05825573,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00788736,REC-CTGOV-NCT00788736,A1,NCT00788736,Predicting Bleeding Risk on Anticoagulant Therapy for Venous Thromboembolism,Development and Validation of Clinical Prediction Rules for Bleeding for Patients on Anticoagulant Therapy for Venous Thromboembolism,COMPLETED,OBSERVATIONAL,,2537,Venous Thromboembolism,,Ottawa Hospital Research Institute,2008-09,2016-10,false,https://clinicaltrials.gov/study/NCT00788736,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02886962,REC-CTGOV-NCT02886962,A1,NCT02886962,Oral Anticoagulation in Haemodialysis Patients,Study of the Benefit / Risk Ratio of Oral Anticoagulation in Hemodialysis Patients With Atrial Fibrillation,TERMINATED,INTERVENTIONAL,PHASE4,50,"Kidney Failure, Chronic",BIOLOGICAL:No oral anticoagulation|DRUG:Oral anticoagulation with vitamin K antagonists,"University Hospital, Strasbourg, France",2017-07-12,2023-12-01,false,https://clinicaltrials.gov/study/NCT02886962,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01517399,REC-CTGOV-NCT01517399,A1,NCT01517399,"Drug-drug Interaction Study of Tivantinib (ARQ 197) With Omeprazole, S-warfarin, Caffeine, Midazolam, and Digoxin in Cancer Subjects","A Phase 1, Open-Label, Single-Sequence Crossover Study Assessing the Effect of Tivantinib (ARQ 197) on the Pharmacokinetics of Omeprazole/S-Warfarin/Caffeine/Midazolam and Digoxin in Cancer Subjects",COMPLETED,INTERVENTIONAL,PHASE1,28,Solid Tumors,DRUG:tivantinib|DRUG:omeprazole|DRUG:s-warfarin|DRUG:caffeine|DIETARY_SUPPLEMENT:vitamin K|DRUG:digoxin|DRUG:midazolam,Daiichi Sankyo,2011-12,2013-09,false,https://clinicaltrials.gov/study/NCT01517399,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04614090,REC-CTGOV-NCT04614090,A1,NCT04614090,Fast Reversal of Warfarin and Early Surgery in Patients With Trochanteric Hip Fracture A Case-control Study,Is Fast Reversal and Early Surgery (Within 24 h) in Patients on Warfarin Medication With Trochanteric Hip Fractures Safe: A Case-control Study,COMPLETED,OBSERVATIONAL,,198,Trochanteric Hip Fractures|Warfarin Medication|Early Surgery,,Karolinska Institutet,2017-10-01,2018-06-26,false,https://clinicaltrials.gov/study/NCT04614090,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06606275,REC-CTGOV-NCT06606275,A1,NCT06606275,The Safety and Effectiveness of Warfarin Vs Apixaban in Patients With NVAF/ VTE and ESKD on Dialysis,The Safety and Effectiveness of Warfarin Vs Apixaban in Patients With Non-Valvular Atrial Fibrillation/ Venous Thromboembolism and End-Stage Kidney Disease on Dialysis,COMPLETED,OBSERVATIONAL,,67,End-Stage Kidney Disease (ESKD)|Non-valvular Atrial Fibrillation (NVAF)|Venous Thromboembolism (VTE),DRUG:Apixaban|DRUG:Warfarin,Abu Dhabi Health Services Company,2024-01-01,2024-11-05,false,https://clinicaltrials.gov/study/NCT06606275,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01809015,REC-CTGOV-NCT01809015,A1,NCT01809015,Evaluation of Oral Anticoagulation With Vitamin K Antagonists - The thrombEVAL Study Programme,A Study Programme for the Evaluation of Oral Anticoagulation Therapy With Vitamin K Antagonists,COMPLETED,OBSERVATIONAL,,2318,"Anticoagulant Antagonists, Vitamin K and Other Coagulants Causing Adverse Effects in Therapeutic Use|Atrial Fibrillation|Venous Thromboembolism",,Johannes Gutenberg University Mainz,2011-01,2018-03,false,https://clinicaltrials.gov/study/NCT01809015,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03064035,REC-CTGOV-NCT03064035,A1,NCT03064035,Fixed Versus Variable Dosing of 4-factor Prothrombin Complex Concentrate for Emergent Warfarin Reversal,"A Prospective, Randomized Study of Fixed Versus Variable Dosing of 4-factor Prothrombin Complex Concentrate for Emergent Warfarin Reversal at a Large Tertiary Care Medical Center",COMPLETED,INTERVENTIONAL,PHASE4,79,Acute Bleeding on Long-Term Anticoagulation Therapy|Hemorrhage|Significant Bleeding in Patients With a Coagulopathy (Prolonged Thrombin Time)|Urgent Reversal of Vitamin K Antagonist (VKA) Anticoagulation,DRUG:4-factor prothrombin complex concentrate (4FPCC),HealthPartners Institute,2017-04-05,2019-04-24,true,https://clinicaltrials.gov/study/NCT03064035,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02429453,REC-CTGOV-NCT02429453,A1,NCT02429453,FFP Versus PCC in Intracranial Hemorrhage,Fresh Frozen Plasma Versus Four Factor Prothrombin Complex Concentrate for Reversal of Vitamin K Antagonists in Intracranial Hemorrhage,WITHDRAWN,INTERVENTIONAL,NA,0,"Intracranial Hemorrhage, Traumatic|Intracranial Hemorrhage, Spontaneous",DRUG:Four Factor Prothrombin Complex Concentrate|BIOLOGICAL:Fresh Frozen Plasma,University of Utah,2015-04,2016-03,false,https://clinicaltrials.gov/study/NCT02429453,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01619007,REC-CTGOV-NCT01619007,A1,NCT01619007,Treatment of an Acute Deep Vein Thrombosis (DVT) With Either Rivaroxaban or Current Standard of Care Therapy,Xarelto® for Long-term and Initial Anticoagulation in Venous Thromboembolism (VTE),COMPLETED,OBSERVATIONAL,,5145,Deep Vein Thrombosis|Venous Thrombosis,"DRUG:Rivaroxaban (Xarelto, BAY59-7939)|DRUG:Standard of care",Bayer,2012-06,2015-07,false,https://clinicaltrials.gov/study/NCT01619007,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02066662,REC-CTGOV-NCT02066662,A1,NCT02066662,Rivaroxaban Compared to Vitamin K Antagonist Upon Development of Cardiovascular Calcification,Influence of Rivaroxaban Compared to Vitamin K Antagonist Treatment Upon Development of Cardiovascular Calcification in Patients With Atrial Fibrillation and/ or Pulmonary Embolism (IRIVASC- Trial),COMPLETED,INTERVENTIONAL,PHASE4,192,"Atrial Fibrillation or Pulmonary Embolism|Need of Long Term Oral Anticoagulation Therapy (OAT)|Existent Coronary or Valvular Calcification, or Both and Agatston Score > 50 in at Least One Location",DRUG:Rivaroxaban or Marcumar,RWTH Aachen University,2013-07,2020-03,false,https://clinicaltrials.gov/study/NCT02066662,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04249401,REC-CTGOV-NCT04249401,A1,NCT04249401,Study to Gather Information About the Safety of Oral Anticoagulation Drugs and How Well These Drugs Work in Real World for Patients With Non-valvular Atrial Fibrillation (Irregularly Heart Beats Which is Not Caused by a Heart Valve Problem),Real-world Evidence for Non-valvular Atrial Fibrillation Patients Treated With Oral Anticoagulation in the Nordics,COMPLETED,OBSERVATIONAL,,134897,Atrial Fibrillation,DRUG:Rivaroxaban (Xarelto)|DRUG:Apixaban|DRUG:Dabigatran|DRUG:Warfarin,Bayer,2020-03-01,2023-09-30,false,https://clinicaltrials.gov/study/NCT04249401,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02100228,REC-CTGOV-NCT02100228,A1,NCT02100228,"Study Of The Blood Thinner, Apixaban, For Patients Who Have An Abnormal Heart Rhythm (Atrial Fibrillation) And Expected To Have Treatment To Put Them Back Into A Normal Heart Rhythm (Cardioversion)",A Phase Iv Trial To Assess The Effectiveness Of Apixaban Compared With Usual Care Anticoagulation In Subjects With Non-valvular Atrial Fibrillation Undergoing Cardioversion,COMPLETED,INTERVENTIONAL,PHASE4,1500,Atrial Fibrillation,DRUG:Apixaban|DRUG:Parenteral heparin and/or oral Vitamin K antagonist,Pfizer,2014-07-14,2017-02-08,true,https://clinicaltrials.gov/study/NCT02100228,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00266045,REC-CTGOV-NCT00266045,A1,NCT00266045,D-dimer Levels During and After Anticoagulation in Patients With a Previous Venous Thromboembolism: Effects on the Risk of Recurrence,"A Multicentre, Prospective, Observational Study on the Predictive Role for Recurrence of D-dimer Levels Measured During and After Anticoagulation in Patients With a First Venous Thromboembolism Episode (the PROLONG-II Study)",COMPLETED,OBSERVATIONAL,,355,Deep Vein Thrombosis|Pulmonary Embolism,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,2005-08,2008-12,false,https://clinicaltrials.gov/study/NCT00266045,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06402851,REC-CTGOV-NCT06402851,A1,NCT06402851,"Vitamin K AntagonISt, Factor Xa Inhibitor or No Anticoagulation in Atrial Fibrillation and DIalytic End-stage Renal DiseasE (VISIONAIRE)",A Randomized Clinical Trial Comparing Three Anti-Thrombotic Strategies for Patients with Atrial Fibrillation and Severe Chronic Kidney Dysfunction,RECRUITING,INTERVENTIONAL,PHASE4,1500,Atrium; Fibrillation|Chronic Kidney Diseases,DRUG:Anticoagulant Oral,Hospital Sirio-Libanes,2024-12-18,2026-12,false,https://clinicaltrials.gov/study/NCT06402851,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03996629,REC-CTGOV-NCT03996629,A1,NCT03996629,Impact of Clinical Pharmacist Interventions in Vitamin K Antagonists Management at One Teaching Hospital in Vietnam,Impact of Clinical Pharmacist Interventions in Vitamin K Antagonists Management at One Teaching Hospital in Vietnam: A Randomized Controlled Trial,UNKNOWN,INTERVENTIONAL,NA,800,Anticoagulation,OTHER:Patient education and compliance,University of Medicine and Pharmacy at Ho Chi Minh City,2019-08-01,2022-12-31,false,https://clinicaltrials.gov/study/NCT03996629,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00800137,REC-CTGOV-NCT00800137,A1,NCT00800137,Bridge or Continue Coumadin for Device Surgery Randomized Controlled Trial,Bridge or Continue Coumadin for Device Surgery Randomized Controlled Trial (BRUISE CONTROL),TERMINATED,INTERVENTIONAL,PHASE4,984,Hematoma,DRUG:low molecular weight heparin or unfractionated heparin|DRUG:Warfarin or coumadin,Ottawa Heart Institute Research Corporation,2008-12,2013-03,false,https://clinicaltrials.gov/study/NCT00800137,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00990158,REC-CTGOV-NCT00990158,A1,NCT00990158,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,A Multicentre Study of Low Dose Oral Vitamin K for INR Control in Patients Receiving Warfarin,COMPLETED,INTERVENTIONAL,PHASE3,235,Coagulation|Bleeding|Thrombosis,DRUG:Phytonadione (Vitamin K1)|DRUG:Placebo,St. Joseph's Healthcare Hamilton,2010-07,2014-04,false,https://clinicaltrials.gov/study/NCT00990158,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01556659,REC-CTGOV-NCT01556659,A1,NCT01556659,LV Thrombus After Acute AMI: A Randomized Controlled Trial,Left Ventricular Thrombus Formation After Acute Myocardial Infarction - a Randomized Multi-center Trial Comparing Two Different Anti-thrombotic Regimens,TERMINATED,INTERVENTIONAL,NA,25,Ventricular Thrombosis Mural Following Myocardial Infarction,DRUG:Absence of vitamin K antagonist,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),2012-03,2022-06,false,https://clinicaltrials.gov/study/NCT01556659,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03968393,REC-CTGOV-NCT03968393,A1,NCT03968393,Anticoagulation for Stroke Prevention In Patients With Recent Episodes of Atrial Fibrillation Occurring Transiently With Stress,Anticoagulation for Stroke Prevention In Patients With Recent Episodes of Atrial Fibrillation Occurring Transiently With Stress - The ASPIRE-AF Trial,RECRUITING,INTERVENTIONAL,PHASE4,2270,Stroke|Atrial Fibrillation,DRUG:Non-vitamin K oral anticoagulant (NOAC),Population Health Research Institute,2019-06-14,2028-12,false,https://clinicaltrials.gov/study/NCT03968393,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02567682,REC-CTGOV-NCT02567682,A1,NCT02567682,"Drug Interaction Study of GBT440 With Caffeine, S-warfarin, Omeprazole, and Midazolam in Healthy Subjects","A Phase 1, Open-Label Study to Evaluate the Effect of Multiple Doses of GBT440 on the Pharmacokinetics of Probe Substrates for CYP1A2, CYP2C9, CYP2C19, and CYP3A4 in Healthy Subjects",COMPLETED,INTERVENTIONAL,PHASE1,24,Sickle Cell Disease,DRUG:GBT440,Global Blood Therapeutics,2015-09,2016-05,false,https://clinicaltrials.gov/study/NCT02567682,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02885545,REC-CTGOV-NCT02885545,A1,NCT02885545,The Strategy to Prevent Hemorrhage Associated With Anticoagulation in Renal Disease Management (STOP HARM) Trial,The Strategy to Prevent Hemorrhage Associated With Anticoagulation in Renal Disease Management (STOP HARM) Trial,WITHDRAWN,INTERVENTIONAL,PHASE4,0,Chronic Kidney Disease|Acute Bleeding|Cerebrovascular Stroke,DEVICE:Watchman|DRUG:Continued therapy with the prescribed oral anticoagulant,Population Health Research Institute,2016-09,2018-03-05,false,https://clinicaltrials.gov/study/NCT02885545,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03178864,REC-CTGOV-NCT03178864,A1,NCT03178864,Study of Rivaroxaban for CeREbral Venous Thrombosis,"Multicentre, Prospective Randomized Open Label, Blinded-endpoint (PROBE) Controlled Trial of Early Anticoagulation With Rivaroxaban Versus Standard of Care in Determining Safety at 365 Days in Symptomatic Cerebral Venous Thrombosis",COMPLETED,INTERVENTIONAL,PHASE2,55,Cerebral Venous Thrombosis,DRUG:Rivaroxaban|DRUG:Standard of care,University of British Columbia,2019-03-12,2022-10-05,false,https://clinicaltrials.gov/study/NCT03178864,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04981041,REC-CTGOV-NCT04981041,A1,NCT04981041,Escalated Single Platelet Inhibition for One Month Plus NOAC in Patients With Atrial Fibrillation and ACS Undergoing PCI,Escalated Single Platelet Inhibition for One Month Plus Direct Oral Anticoagulation in Patients With Atrial Fibrillation and acUte coRonary Syndrome Undergoing percutaneoUS Coronary Intervention,COMPLETED,INTERVENTIONAL,PHASE4,602,Acute Coronary Syndrome|Atrial Fibrillation,DRUG:Prasugrel or Ticagrelor|DRUG:Clopidogrel,Ludwig-Maximilians - University of Munich,2021-12-16,2026-05-30,false,https://clinicaltrials.gov/study/NCT04981041,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02933697,REC-CTGOV-NCT02933697,A1,NCT02933697,Compare Apixaban and Vitamin-K Antagonists in Patients With Atrial Fibrillation (AF) and End-Stage Kidney Disease (ESKD),A Safety Study Assessing Oral Anticoagulation With Apixaban Versus Vitamin-K Antagonists in Patients With Atrial Fibrillation (AF) and End-Stage Kidney Disease (ESKD) on Chronic Hemodialysis Treatment,COMPLETED,INTERVENTIONAL,PHASE3,108,Atrial Fibrillation|End-stage Kidney Disease,DRUG:Apixaban|DRUG:Phenprocoumon,Atrial Fibrillation Network,2017-06-20,2022-07-31,false,https://clinicaltrials.gov/study/NCT02933697,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00512928,REC-CTGOV-NCT00512928,A1,NCT00512928,Safety Study of Vitamin K2 During Anticoagulation in Human Volunteers,Safety Study of Vitamin K2 During Anticoagulation in Human Volunteers,COMPLETED,INTERVENTIONAL,NA,20,Healthy,DRUG:acenocoumarol|DIETARY_SUPPLEMENT:menaquinone-7,Maastricht University,2007-09,2007-12,false,https://clinicaltrials.gov/study/NCT00512928,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03363815,REC-CTGOV-NCT03363815,A1,NCT03363815,"A Study to Evaluate the Effect of Multiple Doses of CC-90001 on the Pharmacokinetics of Omeprazole, Midazolam, Warfarin, Rosuvastatin, Metformin, Digoxin, and Nintedanib in Healthy Adult Subjects","A Phase 1, Four-part, Fixed-sequence, Open-label Study to Evaluate the Effect of Multiple Doses of CC-90001 on the Pharmacokinetics of Omeprazole, Midazolam, Warfarin, Rosuvastatin, Metformin, Digoxin, and Nintedanib in Healthy Adult Subjects",COMPLETED,INTERVENTIONAL,PHASE1,56,Heathy Volunteer,DRUG:CC-90001|DRUG:Omeprazole|DRUG:Midazolam|DRUG:Warfarin|DIETARY_SUPPLEMENT:Vitamin K|DRUG:Rosuvastatin|DRUG:Metformin|DRUG:Digoxin|DRUG:Nintedanib,Celgene,2017-12-04,2018-07-29,false,https://clinicaltrials.gov/study/NCT03363815,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02219984,REC-CTGOV-NCT02219984,A1,NCT02219984,START-Register: Survey on Anticoagulated Patients Register,Phase 4 Study on Clinical History of Patients Who Start a Chronic Anticoagulant Treatment,RECRUITING,OBSERVATIONAL,,15410,Atrial Fibrillation|Venous Thromboembolism|Heart Valve Diseases or Prosthesis,DRUG:Anticoagulants,GUALTIERO PALARETI,2011-10,2027-11,false,https://clinicaltrials.gov/study/NCT02219984,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07011095,REC-CTGOV-NCT07011095,A1,NCT07011095,DOAC or VKA in Patients With AF and Stroke While on DOAC - a Pilot Trial,"A Pilot Trial to Assess the Feasibility of a Multicentre, Phase IV, Prospective, Randomized, Open-label, Two-arm Study With Blinded-endpoint Evaluation to Investigate Vitamin K Antagonist (VKA) Therapy Compared With Direct Oral Anticoagulant (DOAC) Therapy in Male and Female Participants With Atrial Fibrillation and Recent Ischemic Stroke While on a DOAC",NOT_YET_RECRUITING,INTERVENTIONAL,EARLY_PHASE1,100,Atrial Fibrillation (AF)|Stroke (in Patients With Atrial Fibrillation),DRUG:VKA|DRUG:Direct Oral Anticoagulant (DOAC),Population Health Research Institute,2025-09-03,2027-06-03,false,https://clinicaltrials.gov/study/NCT07011095,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02324686,REC-CTGOV-NCT02324686,A1,NCT02324686,Vitamin K Supplementation in Patients on Hemodialysis,Vitamin K Supplementation to Improve INR Stability in Patients on Hemodialysis Taking Warfarin for Atrial Fibrillation,COMPLETED,INTERVENTIONAL,PHASE2,3,End Stage Renal Failure on Dialysis|Atrial Fibrillation,DRUG:vitamin K1,"University Health Network, Toronto",2014-01,2017-12-18,false,https://clinicaltrials.gov/study/NCT02324686,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02610153,REC-CTGOV-NCT02610153,A1,NCT02610153,"Subtherapeutic INR Levels in Patients With AVK: Incidence, Associated Factors, Prognosis and Control Strategies",A Prospective Observational Study Assessing the Management of Anticoagulation With Vitamin K Antagonists in Patients With Nonvalvular Atrial Fibrillation Treated in Cardiology Practices,COMPLETED,OBSERVATIONAL,,1013,Atrial Fibrillation,DRUG:Vitamin K Antagonist,Bayer,2015-10-01,2019-03-15,false,https://clinicaltrials.gov/study/NCT02610153,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02740335,REC-CTGOV-NCT02740335,A1,NCT02740335,"Study of Octaplex, a Four-factor Prothrombin Complex Concentrate (4F-PCC) and Beriplex® P/N (Kcentra) for the Reversal of Vitamin K Antagonist (VKA) Induced Anticoagulation in Patients Needing Urgent Surgery With Significant Bleeding Risk.","A Phase III, Randomized, Double-blind, Multicenter Study to Assess the Efficacy and Safety of OCTAPLEX, a Four-factor Prothrombin Complex Concentrate (4F-PCC), Compared to the 4F-PCC Beriplex® P/N (Kcentra), for the Reversal of Vitamin K Antagonist (VKA) Induced Anticoagulation in Patients Needing Urgent Surgery With Significant Bleeding Risk.",COMPLETED,INTERVENTIONAL,PHASE3,208,Significant Bleeding Risk,DRUG:Octaplex|DRUG:Beriplex P/N (Kcentra),Octapharma,2017-06-08,2022-02-23,true,https://clinicaltrials.gov/study/NCT02740335,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02640222,REC-CTGOV-NCT02640222,A1,NCT02640222,APIXABAN in the Prevention of Stroke and Systemic Embolism in Patients With Atrial Fibrillation in Real-Life Setting in France SNIIRAM Study,APIXABAN in the Prevention of Stroke and Systemic Embolism in Patients With Atrial Fibrillation in Real-Life Setting in France SNIIRAM Study,COMPLETED,OBSERVATIONAL,,321501,Anticoagulation,DRUG:VKA|DRUG:Apixaban|DRUG:dabigatran|DRUG:rivaroxaban,Bristol-Myers Squibb,2014-01-01,2019-12-31,false,https://clinicaltrials.gov/study/NCT02640222,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02318342,REC-CTGOV-NCT02318342,A1,NCT02318342,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Dysfunction With Multimodality Imaging and Its TrEatment With Anticoagulation,RECRUITING,INTERVENTIONAL,NA,3000,Prosthetic Valve Thrombosis,DRUG:Warfarin,Cedars-Sinai Medical Center,2014-12,2028-12,false,https://clinicaltrials.gov/study/NCT02318342,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00911300,REC-CTGOV-NCT00911300,A1,NCT00911300,Evaluation of Fondaparinux in Patients With a Heart Rhythm Disturbance Who Undergo Restoration of Normal Heart Rhythm,"An International, Multicentre, Randomised, Open, Controlled, Two-parallel Group, Phase II Pilot Study to Evaluate the Efficacy and Safety of ARIXTRA™ for Anticoagulation of Patients With Atrial Fibrillation Undergoing Electric Cardioversion Following Transesophageal Echocardiography",COMPLETED,INTERVENTIONAL,PHASE2,349,"Fibrillation, Atrial",DRUG:fondaparinux|DRUG:unfractionated heparin|DRUG:Vitamin-K-Antagonist,GlaxoSmithKline,2009-08,2011-09,true,https://clinicaltrials.gov/study/NCT00911300,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02427516,REC-CTGOV-NCT02427516,A1,NCT02427516,Cost of Monitoring Patients Treated With Vitamin K Antagonists in Spain,Cost of Monitoring Patients Treated With Vitamin K Antagonists in Spain,COMPLETED,OBSERVATIONAL,,1144,Anticoagulation,,Bristol-Myers Squibb,2009-01,2015-11,false,https://clinicaltrials.gov/study/NCT02427516,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
