retrieval_id,record_id,question_id,nct_id,brief_title,official_title,overall_status,study_type,phases,enrollment,conditions,interventions,lead_sponsor,start_date,completion_date,has_results,registry_url,known_query_risk,decision_authority,status
RET-A1-CTGOV-NCT04066764,REC-CTGOV-NCT04066764,A1,NCT04066764,Rivaroxaban and Vitamin K Antagonists for the Anticoagulation for the Implantation of Vena Cava Filters,An Efficacy and Safety Study of New Oral Anticoagulants and Vitamin K Antagonists for the Anticoagulation for the Implantation of Vena Cava Filters: A Prospective Randomized Controlled Trial,UNKNOWN,INTERVENTIONAL,PHASE3,200,Venous Thromboembolism,DRUG:Rivaroxaban|DRUG:Warfarin|DRUG:Nadroparin,"Second Affiliated Hospital, School of Medicine, Zhejiang University",2020-05-08,2024-10-01,false,https://clinicaltrials.gov/study/NCT04066764,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02911545,REC-CTGOV-NCT02911545,A1,NCT02911545,Non-vitamin K Oral Anticoagulants in Cardioversion,Non-vitamin K Oral Anticoagulants in Cardioversion of Atrial Fibrillation. FinCV3,COMPLETED,OBSERVATIONAL,,1000,Atrial Fibrillation,,Helsinki University Central Hospital,2011-10,2016-05,false,https://clinicaltrials.gov/study/NCT02911545,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00905229,REC-CTGOV-NCT00905229,A1,NCT00905229,Comparing Different Routes and Doses of Phytonadione (Vitamin K) for Reversing Warfarin Treated Patients With Hip Fracture Before Surgery,,WITHDRAWN,INTERVENTIONAL,NA,0,Bleeding|Complications,DRUG:Phytonadione|DRUG:Phytonadione,"HaEmek Medical Center, Israel",2009-05,2010-04,false,https://clinicaltrials.gov/study/NCT00905229,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02319460,REC-CTGOV-NCT02319460,A1,NCT02319460,An Observational Cohort Study to Investigate the Risk of Thromboembolic Events in Patients Receiving Kcentra® or Plasma to Reverse Vitamin K Antagonist (VKA) Therapy in the Setting of Acute Major Bleeding,An Observational Cohort Study of the Risk of Thromboembolic Events Among Adult Patients Treated With KCENTRA® Compared With Plasma for Urgent Reversal of Vitamin K Antagonist Therapy in the Setting of Acute Major Bleeding,COMPLETED,OBSERVATIONAL,,2238,Hemorrhage,BIOLOGICAL:Kcentra®|BIOLOGICAL:Plasma,CSL Behring,2014-04-24,2020-06-30,false,https://clinicaltrials.gov/study/NCT02319460,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02610933,REC-CTGOV-NCT02610933,A1,NCT02610933,Effect on Vascular Calcification of Replacing Warfarin by Rivaroxaban With or Without VitK2 in Hemodialysis Patients,The Effect of Replacement of Vitamin K Antagonist by Rivaroxaban With or Without Vitamin K2 Supplementation on Vascular Calcifications in Chronic Hemodialysis Patients: A Randomized Controlled Trial,COMPLETED,INTERVENTIONAL,PHASE4,117,Vascular Calcification,DRUG:rivaroxaban|DIETARY_SUPPLEMENT:Vitamin K2,Onze Lieve Vrouw Hospital,2015-11,2019-01-23,false,https://clinicaltrials.gov/study/NCT02610933,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02735902,REC-CTGOV-NCT02735902,A1,NCT02735902,Anticoagulation Alone Versus Anticoagulation and Aspirin Following Transcatheter Aortic Valve Interventions (1:1),"Anticoagulation Alone Versus Anticoagulation and Aspirin Following Transcatheter Aortic Valve Interventions - an Open, Multicenter Randomized Controlled Trial With Two Parallel Arms (1:1)",COMPLETED,INTERVENTIONAL,PHASE4,170,Transcatheter Aortic Valve Replacement,DRUG:Vitamin K antagonist or direct oral anticoagulant treatment|DRUG:Aspirin,Centre Hospitalier Universitaire de Nīmes,2017-06-01,2024-01-19,false,https://clinicaltrials.gov/study/NCT02735902,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07658989,REC-CTGOV-NCT07658989,A1,NCT07658989,Optimizing Anticoagulation in Pregnancies With Mechanical Heart Valves,A Prospective Multicenter Cohort Pilot Study Comparing Antithrombotic Regimens in Pregnancies With Mechanical Heart Valves,RECRUITING,INTERVENTIONAL,NA,100,Pregnancy|Prosthetic Heart Valve|Anticoagulant Therapy,DRUG:LMWH and LDA|OTHER:Vitamin K antagonists (e.g warfarin)+/- LDA|OTHER:Sequential therapy +/- LDA,"Mount Sinai Hospital, Canada",2026-05-26,2030-12,false,https://clinicaltrials.gov/study/NCT07658989,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02227550,REC-CTGOV-NCT02227550,A1,NCT02227550,Apixaban During Atrial Fibrillation Catheter Ablation: Comparison to Vitamin K Antagonist Therapy,"An Investigator-driven, Prospective, Parallel-group, Randomised, Open, Blinded Outcome Assessment (PROBE), Multi-centre Trial to Determine the Optimal Anticoagulation Therapy for Patients Untergoing Catheter Ablation of Atrial Fibrillation",COMPLETED,INTERVENTIONAL,PHASE4,676,Atrial Fibrillation,DRUG:Vitamin K antagonist|DRUG:Apixaban,Atrial Fibrillation Network,2014-12,2017-09,false,https://clinicaltrials.gov/study/NCT02227550,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01250535,REC-CTGOV-NCT01250535,A1,NCT01250535,Human Cytochrome P450 4F Enzymes and Drug Interactions,Human Cytochrome P450 4F Enzymes and Drug Interactions,COMPLETED,INTERVENTIONAL,PHASE1,19,Healthy Volunteers|Drug Drug Interactions,DRUG:Warfarin|DRUG:Placebo|DRUG:Lovastatin,"University of North Carolina, Chapel Hill",2010-12,2011-12,false,https://clinicaltrials.gov/study/NCT01250535,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01042067,REC-CTGOV-NCT01042067,A1,NCT01042067,Safer Warfarin Treatment,"Safer Warfarin Treatment - the Influence of CYP2C9 Genotyping, Genotyping of Vitamine K Dependent Proteins and Dietary Vitamine K Status on Dosing, Clinical Effect and Adverse Events With Emphasis on the Initial Phase of Treatment",SUSPENDED,OBSERVATIONAL,,200,Atrial Fibrillation|Venous Thrombosis|Pulmonary Embolism|Heart Valve Prosthesis,"OTHER:Blood specimens (whole blood, serum, plasma)",Oslo University Hospital,2010-01,,false,https://clinicaltrials.gov/study/NCT01042067,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
