report_id,record_id,study_id,report_type,linkage_evidence,status
RPT-PUBMED-433362,REC-PUBMED-433362,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-433806,REC-PUBMED-433806,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-435405,REC-PUBMED-435405,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-439009,REC-PUBMED-439009,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-440508,REC-PUBMED-440508,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-441670,REC-PUBMED-441670,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-443641,REC-PUBMED-443641,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-443744,REC-PUBMED-443744,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-443815,REC-PUBMED-443815,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-446396,REC-PUBMED-446396,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-447088,REC-PUBMED-447088,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-449913,REC-PUBMED-449913,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-453677,REC-PUBMED-453677,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-453687,REC-PUBMED-453687,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-454253,REC-PUBMED-454253,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-456941,REC-PUBMED-456941,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-457993,REC-PUBMED-457993,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-459990,REC-PUBMED-459990,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-465069,REC-PUBMED-465069,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-465984,REC-PUBMED-465984,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-469382,REC-PUBMED-469382,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-473111,REC-PUBMED-473111,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-476013,REC-PUBMED-476013,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-477682,REC-PUBMED-477682,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-478599,REC-PUBMED-478599,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-478681,REC-PUBMED-478681,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-478828,REC-PUBMED-478828,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-480184,REC-PUBMED-480184,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-482179,REC-PUBMED-482179,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-482281,REC-PUBMED-482281,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-484524,REC-PUBMED-484524,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-488032,REC-PUBMED-488032,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-492291,REC-PUBMED-492291,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-492633,REC-PUBMED-492633,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-514292,REC-PUBMED-514292,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-522759,REC-PUBMED-522759,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-531567,REC-PUBMED-531567,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-532267,REC-PUBMED-532267,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-535622,REC-PUBMED-535622,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-537547,REC-PUBMED-537547,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-540887,REC-PUBMED-540887,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-542935,REC-PUBMED-542935,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-543511,REC-PUBMED-543511,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-544143,REC-PUBMED-544143,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-545769,REC-PUBMED-545769,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-553191,REC-PUBMED-553191,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-555314,REC-PUBMED-555314,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-556987,REC-PUBMED-556987,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-557759,REC-PUBMED-557759,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-558475,REC-PUBMED-558475,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-567642,REC-PUBMED-567642,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-571306,REC-PUBMED-571306,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-573283,REC-PUBMED-573283,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-573373,REC-PUBMED-573373,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-576160,REC-PUBMED-576160,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-576314,REC-PUBMED-576314,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-580994,REC-PUBMED-580994,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-605220,REC-PUBMED-605220,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-616752,REC-PUBMED-616752,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-617783,REC-PUBMED-617783,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-619911,REC-PUBMED-619911,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-625456,REC-PUBMED-625456,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-628374,REC-PUBMED-628374,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-628393,REC-PUBMED-628393,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-629029,REC-PUBMED-629029,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-629344,REC-PUBMED-629344,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-629756,REC-PUBMED-629756,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-630804,REC-PUBMED-630804,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-634328,REC-PUBMED-634328,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-638263,REC-PUBMED-638263,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-645444,REC-PUBMED-645444,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-646199,REC-PUBMED-646199,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-646989,REC-PUBMED-646989,,bibliographic_record,PMID exact,needs_human_study_linkage
