retrieval_id,record_id,question_id,search_run_id,database,provider_id,status
RET-A1-KOREAMED-1826383,REC-KOREAMED-1826383,A1,koreamed_a1_designpilot_20260710,KoreaMed,1826383,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2368399,REC-KOREAMED-2368399,A1,koreamed_a1_designpilot_20260710,KoreaMed,2368399,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2502300,REC-KOREAMED-2502300,A1,koreamed_a1_designpilot_20260710,KoreaMed,2502300,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2559774,REC-KOREAMED-2559774,A1,koreamed_a1_designpilot_20260710,KoreaMed,2559774,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2517602,REC-KOREAMED-2517602,A1,koreamed_a1_designpilot_20260710,KoreaMed,2517602,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2377723,REC-KOREAMED-2377723,A1,koreamed_a1_designpilot_20260710,KoreaMed,2377723,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2368397,REC-KOREAMED-2368397,A1,koreamed_a1_designpilot_20260710,KoreaMed,2368397,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2420640,REC-KOREAMED-2420640,A1,koreamed_a1_designpilot_20260710,KoreaMed,2420640,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2527871,REC-KOREAMED-2527871,A1,koreamed_a1_designpilot_20260710,KoreaMed,2527871,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2514538,REC-KOREAMED-2514538,A1,koreamed_a1_designpilot_20260710,KoreaMed,2514538,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2447752,REC-KOREAMED-2447752,A1,koreamed_a1_designpilot_20260710,KoreaMed,2447752,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2415445,REC-KOREAMED-2415445,A1,koreamed_a1_designpilot_20260710,KoreaMed,2415445,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2070114,REC-KOREAMED-2070114,A1,koreamed_a1_designpilot_20260710,KoreaMed,2070114,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2454676,REC-KOREAMED-2454676,A1,koreamed_a1_designpilot_20260710,KoreaMed,2454676,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2435176,REC-KOREAMED-2435176,A1,koreamed_a1_designpilot_20260710,KoreaMed,2435176,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2536967,REC-KOREAMED-2536967,A1,koreamed_a1_designpilot_20260710,KoreaMed,2536967,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2373642,REC-KOREAMED-2373642,A1,koreamed_a1_designpilot_20260710,KoreaMed,2373642,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2508178,REC-KOREAMED-2508178,A1,koreamed_a1_designpilot_20260710,KoreaMed,2508178,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2521066,REC-KOREAMED-2521066,A1,koreamed_a1_designpilot_20260710,KoreaMed,2521066,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2532139,REC-KOREAMED-2532139,A1,koreamed_a1_designpilot_20260710,KoreaMed,2532139,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2505374,REC-KOREAMED-2505374,A1,koreamed_a1_designpilot_20260710,KoreaMed,2505374,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2514634,REC-KOREAMED-2514634,A1,koreamed_a1_designpilot_20260710,KoreaMed,2514634,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2581908,REC-KOREAMED-2581908,A1,koreamed_a1_designpilot_20260710,KoreaMed,2581908,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2515764,REC-KOREAMED-2515764,A1,koreamed_a1_designpilot_20260710,KoreaMed,2515764,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2525372,REC-KOREAMED-2525372,A1,koreamed_a1_designpilot_20260710,KoreaMed,2525372,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2578062,REC-KOREAMED-2578062,A1,koreamed_a1_designpilot_20260710,KoreaMed,2578062,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2501991,REC-KOREAMED-2501991,A1,koreamed_a1_designpilot_20260710,KoreaMed,2501991,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2563795,REC-KOREAMED-2563795,A1,koreamed_a1_designpilot_20260710,KoreaMed,2563795,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2536731,REC-KOREAMED-2536731,A1,koreamed_a1_designpilot_20260710,KoreaMed,2536731,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2559703,REC-KOREAMED-2559703,A1,koreamed_a1_designpilot_20260710,KoreaMed,2559703,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2527512,REC-KOREAMED-2527512,A1,koreamed_a1_designpilot_20260710,KoreaMed,2527512,design_pilot_complete_display_native_export_server_error_not_final_search
RET-A1-KOREAMED-2517492,REC-KOREAMED-2517492,A1,koreamed_a1_designpilot_20260710,KoreaMed,2517492,design_pilot_complete_display_native_export_server_error_not_final_search
